Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Campo Grande;2;1;0;51;600.0;325.0;
Apartamento;Méier;2;0;0;64;950.0;200.0;
Apartamento;Ramos;2;1;0;67;900.0;470.0;
Apartamento;Jacarepaguá;2;0;0;50;1000.0;520.0;50.0
Apartamento;Braz de Pina;2;0;0;49;1100.0;;
Apartamento;Freguesia (Jacarepaguá);2;1;0;65;800.0;673.0;100.0
Apartamento;Olaria;2;1;0;58;660.0;450.0;
Apartamento;Méier;2;1;0;71;1100.0;580.0;
Apartamento;Taquara;2;0;0;68;900.0;130.0;14.0
Apartamento;Campo Grande;2;0;0;60;650.0;330.0;
Apartamento;Lins de Vasconcelos;2;1;0;80;550.0;781.0;
Apartamento;Cachambi;2;1;1;68;999.0;451.0;50.0
Apartamento;Tijuca;2;0;0;64;1000.0;470.0;70.0
Apartamento;Centro;2;0;0;50;1000.0;450.0;50.0
Apartamento;Estácio;2;0;0;72;1100.0;425.0;13.0
Apartamento;Engenho de Dentro;2;1;0;70;1000.0;550.0;
Apartamento;Parada de Lucas;2;0;0;58;900.0;300.0;
Apartamento;Pilares;2;0;0;50;850.0;238.0;
Apartamento;Méier;2;1;0;77;1100.0;331.0;51.0
Apartamento;Lins de Vasconcelos;2;1;0;60;900.0;300.0;10.0
Apartamento;Praça Seca;3;1;0;48;850.0;293.0;13.0
Apartamento;Penha;2;0;0;80;1100.0;265.0;
Apartamento;Jardim Sulacap;2;0;0;56;960.0;240.0;
Apartamento;Turiaçu;2;0;1;42;900.0;;
Apartamento;Freguesia (Jacarepaguá);2;1;0;70;1000.0;200.0;20.0
Apartamento;Irajá;2;1;0;80;1100.0;350.0;
Apartamento;Praça Seca;2;1;0;57;750.0;488.0;14.0
Apartamento;Méier;2;0;0;70;1000.0;525.0;55.0
Apartamento;Vila Isabel;2;0;0;65;1000.0;436.0;21.0
Apartamento;Vicente de Carvalho;2;0;0;35;600.0;;
Apartamento;Taquara;2;0;0;52;900.0;528.0;
Apartamento;Pechincha;2;1;0;50;1000.0;385.0;13.0
Apartamento;Bonsucesso;2;0;0;49;980.0;350.0;
Apartamento;Vila Kosmos;2;0;0;65;1000.0;250.0;
Apartamento;Jardim Sulacap;2;1;0;56;830.0;270.0;
Apartamento;Engenho de Dentro;2;0;0;65;800.0;285.0;
Apartamento;Colégio;2;0;1;90;1000.0;;
Apartamento;Irajá;2;0;0;65;1000.0;260.0;
Apartamento;Oswaldo Cruz;2;0;0;55;930.0;140.0;
Apartamento;Freguesia (Jacarepaguá);2;0;0;58;1100.0;440.0;39.0
Apartamento;Maria da Graça;2;0;0;74;1100.0;300.0;118.0
Apartamento;Guaratiba;2;1;1;50;950.0;;
Apartamento;Grajaú;2;1;1;71;980.0;646.0;97.0
Apartamento;Inhaúma;2;1;0;48;800.0;370.0;
Apartamento;Penha;3;0;0;75;1100.0;185.0;
